dataset,strategy,top_k,loaded_examples,evaluated_examples,skipped_oov_examples,total_characters,top_k_correct_words,top_k_accuracy,saved_keystrokes,saved_keystroke_ratio
wikitext2,s1,1,1000,902,98,5748,661,0.7328159645232816,1551,0.2698329853862213
wikitext2,s1,2,1000,902,98,5748,739,0.8192904656319291,2096,0.36464857341684065
wikitext2,s1,3,1000,902,98,5748,764,0.8470066518847007,2343,0.40762004175365346
wikitext2,s1,4,1000,902,98,5748,770,0.8536585365853658,2478,0.4311064718162839
wikitext2,s2,1,1000,902,98,5748,506,0.5609756097560976,1048,0.18232428670842032
wikitext2,s2,2,1000,902,98,5748,590,0.6541019955654102,1432,0.24913013221990257
wikitext2,s2,3,1000,902,98,5748,634,0.7028824833702882,1645,0.2861864996520529
wikitext2,s2,4,1000,902,98,5748,650,0.720620842572062,1786,0.31071677105080026
wikitext2,s3,1,1000,902,98,5748,518,0.5742793791574279,1043,0.1814544189283229
wikitext2,s3,2,1000,902,98,5748,595,0.6596452328159645,1450,0.2522616562282533
wikitext2,s3,3,1000,902,98,5748,636,0.70509977827051,1659,0.2886221294363257
wikitext2,s3,4,1000,902,98,5748,648,0.7184035476718403,1806,0.31419624217118997
