dataset,strategy,top_k,loaded_examples,evaluated_examples,skipped_oov_examples,total_characters,top_k_correct_words,top_k_accuracy,saved_keystrokes,saved_keystroke_ratio
mobile_sms,s1,1,100,98,2,494,87,0.8877551020408163,161,0.3259109311740891
mobile_sms,s1,2,100,98,2,494,90,0.9183673469387755,192,0.38866396761133604
mobile_sms,s1,3,100,98,2,494,91,0.9285714285714286,220,0.44534412955465585
mobile_sms,s1,4,100,98,2,494,92,0.9387755102040817,236,0.4777327935222672
mobile_sms,s2,1,100,98,2,494,73,0.7448979591836735,107,0.2165991902834008
mobile_sms,s2,2,100,98,2,494,81,0.826530612244898,147,0.2975708502024291
mobile_sms,s2,3,100,98,2,494,83,0.8469387755102041,166,0.3360323886639676
mobile_sms,s2,4,100,98,2,494,85,0.8673469387755102,192,0.38866396761133604
mobile_sms,s3,1,100,98,2,494,74,0.7551020408163265,107,0.2165991902834008
mobile_sms,s3,2,100,98,2,494,81,0.826530612244898,148,0.29959514170040485
mobile_sms,s3,3,100,98,2,494,83,0.8469387755102041,168,0.340080971659919
mobile_sms,s3,4,100,98,2,494,85,0.8673469387755102,192,0.38866396761133604
